trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.75, 'e': 0.31170947235801255}",20,0,19.539279114894146,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.75, 'e': 0.30902954325135906}",20,6,5.220486992440667,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.75, 'e': 0.30637265489467813}",25,14,2.6738330176228997,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.75, 'e': 0.30373860919461043}",35,7,-35.78010034659012,"{0: 23, 1: 1, 2: 1, 3: 3, 4: 0}",1
138,False,"{'a': 0.75, 'e': 0.30112720976090895}",30,0,-8.466286336242504,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
139,False,"{'a': 0.75, 'e': 0.29853826189179594}",25,3,-62.857870391625035,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
140,False,"{'a': 0.75, 'e': 0.2959715725594465}",25,0,-12.254251220737206,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 0.75, 'e': 0.29342695039559685}",25,0,9.720777713102878,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.75, 'e': 0.29090420567727604}",20,0,18.728725230516204,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.75, 'e': 0.28840315031266056}",35,12,-69.5027806024574,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 1}",1
144,False,"{'a': 0.75, 'e': 0.2859235978270506}",20,10,-14.041912619161936,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.75, 'e': 0.2834653633489667}",20,0,-42.69517881131355,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
146,False,"{'a': 0.75, 'e': 0.28102826359636596}",20,16,7.459074473601001,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.75, 'e': 0.27861211686297704}",35,4,-98.19234147978935,"{0: 24, 1: 0, 2: 3, 3: 3, 4: 1}",1
148,False,"{'a': 0.75, 'e': 0.2762167430047522}",25,0,-31.292998826301524,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
149,False,"{'a': 0.75, 'e': 0.2738419634264361}",20,9,12.586480791101135,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.75, 'e': 0.2714876010682503}",20,8,-42.180209021920405,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
151,False,"{'a': 0.75, 'e': 0.26915348039269155}",20,0,-20.389056601040174,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
152,False,"{'a': 0.75, 'e': 0.2668394273714442}",20,3,13.417477704462893,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.75, 'e': 0.2645452694724049}",20,8,6.4227303844205625,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.75, 'e': 0.262270835646819}",20,0,22.03781121981466,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.75, 'e': 0.26001595631652713}",20,14,12.450862500995935,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.75, 'e': 0.2577804633613221}",30,12,20.349561457429296,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.75, 'e': 0.2555641901064138}",25,0,-53.12543582861936,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
158,False,"{'a': 0.75, 'e': 0.2533669713100024}",20,13,-16.679481593026367,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
159,False,"{'a': 0.75, 'e': 0.251188643150958}",20,9,-3.0218414132175138,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.75, 'e': 0.24902904321660665}",25,6,11.138587089244925,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.75, 'e': 0.2468880104906208}",20,11,6.300080292467556,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.75, 'e': 0.2447653853410146}",20,15,11.221845846880347,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.75, 'e': 0.24266100950824152}",25,0,-40.61883846964805,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
164,False,"{'a': 0.75, 'e': 0.24057472609339506}",20,6,28.25083452021795,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.75, 'e': 0.23850637954651055}",25,0,3.824395542242656,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
166,False,"{'a': 0.75, 'e': 0.23645581565496757}",25,15,9.590376297187676,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.75, 'e': 0.23442288153199217}",20,15,11.846752162150477,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.75, 'e': 0.23240742560525787}",20,12,15.094779434034063,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.75, 'e': 0.23040929760558454}",20,15,7.168886321062947,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.75, 'e': 0.22842834855573468}",20,0,-1.3509569631565737,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
171,False,"{'a': 0.75, 'e': 0.22646443075930595}",25,0,39.38380827573493,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.75, 'e': 0.22451739778971905}",20,2,-11.009098594613508,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.75, 'e': 0.2225871044793004}",30,0,-49.31934329504131,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
174,False,"{'a': 0.75, 'e': 0.22067340690845894}",25,18,9.99208947168603,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.75, 'e': 0.21877616239495523}",20,13,-10.47959000905364,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
