trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.75, 'e': 0.5251441730200417}",20,0,-29.212570782496584,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
173,False,"{'a': 0.75, 'e': 0.5231813611662013}",25,12,-20.29326343084169,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
174,False,"{'a': 0.75, 'e': 0.5212258856412616}",20,2,-42.136192662618555,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
175,False,"{'a': 0.75, 'e': 0.5192777190244988}",25,3,-58.99314434981655,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
176,False,"{'a': 0.75, 'e': 0.5173368339976786}",30,0,-92.6753506004862,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
177,False,"{'a': 0.75, 'e': 0.5154032033446728}",25,9,2.03101625686978,"{0: 12, 1: 4, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.75, 'e': 0.5134767999510782}",20,9,16.95510680928183,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.75, 'e': 0.511557596803836}",25,0,-62.08086115016209,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
180,False,"{'a': 0.75, 'e': 0.5096455669908528}",25,15,-28.807836431603164,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
181,False,"{'a': 0.75, 'e': 0.5077406837006241}",25,10,-5.444677772053197,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
182,False,"{'a': 0.75, 'e': 0.5058429202218573}",20,0,-17.353749978630113,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
183,False,"{'a': 0.75, 'e': 0.5039522499430978}",20,0,-18.211108558111004,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
184,False,"{'a': 0.75, 'e': 0.5020686463523557}",20,15,-2.3169684664699393,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.75, 'e': 0.5001920830367338}",30,7,-33.86028958718886,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
186,False,"{'a': 0.75, 'e': 0.49832253368205753}",20,0,-36.09783131448738,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
187,False,"{'a': 0.75, 'e': 0.4964599720725058}",30,0,7.845007919020735,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
188,False,"{'a': 0.75, 'e': 0.49460437209024344}",20,0,2.7277433084046026,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
189,False,"{'a': 0.75, 'e': 0.4927557077150549}",20,10,6.768075265858112,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.75, 'e': 0.4909139530239794}",30,4,-17.530074310680824,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 0}",1
191,False,"{'a': 0.75, 'e': 0.48907908219094753}",20,16,6.503957602998841,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.75, 'e': 0.487251069486419}",30,0,-16.139297155750853,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
193,False,"{'a': 0.75, 'e': 0.4854298892770218}",25,0,-132.98897940547235,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
194,False,"{'a': 0.75, 'e': 0.4836155160251929}",20,14,8.607768459808227,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.75, 'e': 0.4818079242888201}",25,0,-15.028088520329334,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
196,False,"{'a': 0.75, 'e': 0.48000708872088504}",20,0,-49.44513925433445,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
197,False,"{'a': 0.75, 'e': 0.47821298406910817}",25,0,-30.972686712679018,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
198,False,"{'a': 0.75, 'e': 0.4764255851755944}",25,0,-3.160179800581138,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
199,False,"{'a': 0.75, 'e': 0.47464486697648034}",20,4,25.915828714809003,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.75, 'e': 0.47287080450158286}",20,0,-42.596107786271865,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
201,False,"{'a': 0.75, 'e': 0.47110337287404896}",25,13,22.443927408208328,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
