trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.75, 'e': 0.9847458276874698}",25,0,-151.7864976346941,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
92,False,"{'a': 0.75, 'e': 0.9844132818275636}",20,0,-147.69010701649844,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
93,False,"{'a': 0.75, 'e': 0.9840771786097873}",25,10,-69.51642609383069,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
94,False,"{'a': 0.75, 'e': 0.9837375192487114}",25,0,-114.92446760886902,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
95,False,"{'a': 0.75, 'e': 0.9833943049717574}",25,0,-132.45186332246936,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
96,False,"{'a': 0.75, 'e': 0.9830475370191929}",20,0,-68.23723529917154,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
97,False,"{'a': 0.75, 'e': 0.9826972166441276}",20,0,-63.489040873388234,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
98,False,"{'a': 0.75, 'e': 0.9823433451125081}",25,0,-250.12800454403077,"{0: 12, 1: 2, 2: 3, 3: 5, 4: 3}",0
99,False,"{'a': 0.75, 'e': 0.9819859237031144}",30,0,-121.87532258251481,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
100,False,"{'a': 0.75, 'e': 0.9816249537075541}",20,0,-150.08842260586613,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
101,False,"{'a': 0.75, 'e': 0.9812604364302585}",25,0,-240.9942150531312,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
102,False,"{'a': 0.75, 'e': 0.9808923731884777}",20,0,-153.12045124059912,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
103,False,"{'a': 0.75, 'e': 0.9805207653122756}",20,0,-73.0434332795128,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
104,False,"{'a': 0.75, 'e': 0.9801456141445254}",20,0,-132.78652198309115,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
105,False,"{'a': 0.75, 'e': 0.9797669210409046}",35,0,-302.3522590734541,"{0: 18, 1: 5, 2: 4, 3: 3, 4: 5}",0
106,False,"{'a': 0.75, 'e': 0.9793846873698902}",20,0,-120.45751928917007,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
107,False,"{'a': 0.75, 'e': 0.9789989145127536}",25,0,-43.60721248876058,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
108,False,"{'a': 0.75, 'e': 0.9786096038635558}",30,0,-207.097574647741,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
109,False,"{'a': 0.75, 'e': 0.9782167568291422}",20,0,-2.6651736598117584,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.75, 'e': 0.9778203748291375}",30,0,-220.1479525790939,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 4}",0
111,False,"{'a': 0.75, 'e': 0.9774204592959409}",20,0,-57.6041346930517,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
112,False,"{'a': 0.75, 'e': 0.9770170116747203}",30,0,-30.690686907092772,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
113,False,"{'a': 0.75, 'e': 0.9766100334234078}",30,0,-208.76926599029747,"{0: 13, 1: 3, 2: 11, 3: 1, 4: 2}",0
114,False,"{'a': 0.75, 'e': 0.9761995260126939}",25,0,-133.53473541354907,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
115,False,"{'a': 0.75, 'e': 0.9757854909260223}",20,0,-78.39269309930668,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
116,False,"{'a': 0.75, 'e': 0.9753679296595847}",25,0,-91.94533986109887,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
117,False,"{'a': 0.75, 'e': 0.9749468437223153}",20,0,-133.84724055678635,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
118,False,"{'a': 0.75, 'e': 0.9745222346358855}",30,0,-13.405158424007096,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
119,False,"{'a': 0.75, 'e': 0.9740941039346979}",20,0,-55.668033559878715,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
