trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
250,False,"{'a': 0.75, 'e': 0.2870147184764239}",25,17,14.67981055822656,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.75, 'e': 0.2855852579217217}",20,0,-26.66121768409378,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
252,False,"{'a': 0.75, 'e': 0.28416291671437666}",20,6,4.1924231073210345,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.75, 'e': 0.28274765939688234}",25,0,11.398380601360335,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
254,False,"{'a': 0.75, 'e': 0.28133945068832644}",30,18,-26.683358312331418,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
255,False,"{'a': 0.75, 'e': 0.27993825548351126}",25,6,-44.57328567638109,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
256,False,"{'a': 0.75, 'e': 0.27854403885207846}",20,13,7.7981517443443416,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.75, 'e': 0.2771567660376385}",20,0,-50.04702766123968,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
258,False,"{'a': 0.75, 'e': 0.275776402456904}",20,2,-15.57943854110828,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
259,False,"{'a': 0.75, 'e': 0.27440291369882763}",20,9,21.99762504484368,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.75, 'e': 0.27303626552374444}",20,0,16.93776324500262,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
261,False,"{'a': 0.75, 'e': 0.2716764238625181}",25,0,35.44390240121363,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
262,False,"{'a': 0.75, 'e': 0.27032335481569175}",20,0,25.922342909945854,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
263,False,"{'a': 0.75, 'e': 0.26897702465264284}",20,10,-35.289249757700176,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
264,False,"{'a': 0.75, 'e': 0.26763739981074225}",20,8,3.4001378166246083,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.75, 'e': 0.2663044468945177}",20,10,6.297842038234224,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.75, 'e': 0.2649781326748211}",25,10,-58.26938233584553,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
267,False,"{'a': 0.75, 'e': 0.2636584240880003}",25,4,-7.967380827124705,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
268,False,"{'a': 0.75, 'e': 0.2623452882350747}",30,23,15.41941253907968,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.75, 'e': 0.2610386923809153}",25,3,-11.870624777013173,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
270,False,"{'a': 0.75, 'e': 0.25973860395342857}",20,5,-31.560898577299152,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
271,False,"{'a': 0.75, 'e': 0.2584449905427444}",25,0,-50.599399764580426,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
272,False,"{'a': 0.75, 'e': 0.2571578199004082}",25,11,-17.87126506992782,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
273,False,"{'a': 0.75, 'e': 0.25587705993857707}",30,15,4.442357099670469,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
274,False,"{'a': 0.75, 'e': 0.25460267872921966}",20,3,5.8282158130141495,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
275,False,"{'a': 0.75, 'e': 0.25333464450332044}",20,0,16.983881198208312,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
276,False,"{'a': 0.75, 'e': 0.25207292565008765}",20,12,14.106311778544457,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.75, 'e': 0.2508174907161653}",30,10,-7.256936505231247,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
278,False,"{'a': 0.75, 'e': 0.24956830840484914}",25,8,29.787853931464934,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.75, 'e': 0.24832534757530622}",20,0,-10.63357513356241,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
280,False,"{'a': 0.75, 'e': 0.24708857724179883}",20,7,-38.73185405157091,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
281,False,"{'a': 0.75, 'e': 0.245857966572912}",30,17,-16.02381498966572,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
282,False,"{'a': 0.75, 'e': 0.24463348489078482}",25,0,-65.19726535266156,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
283,False,"{'a': 0.75, 'e': 0.24341510167034577}",25,13,-2.5132695658677844,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.75, 'e': 0.2422027865385517}",20,0,15.705478736918792,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
285,False,"{'a': 0.75, 'e': 0.2409965092736307}",25,0,-2.527135638085065,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
286,False,"{'a': 0.75, 'e': 0.23979623980432863}",25,17,-11.522409653914426,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
287,False,"{'a': 0.75, 'e': 0.2386019482091596}",30,21,-6.447754981469984,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
288,False,"{'a': 0.75, 'e': 0.23741360471565995}",25,4,35.202784680840075,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.75, 'e': 0.2362311796996461}",20,7,18.898760941966174,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.75, 'e': 0.23505464368447604}",30,19,11.285017858374216,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.75, 'e': 0.23388396734031447}",25,12,5.729103239430341,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
292,False,"{'a': 0.75, 'e': 0.23271912148340174}",20,0,14.09806054833178,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
293,False,"{'a': 0.75, 'e': 0.2315600770753262}",25,19,11.20162591240564,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.75, 'e': 0.23040680522230042}",25,0,1.724721314260921,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
295,False,"{'a': 0.75, 'e': 0.2292592771744408}",20,0,-66.82046836606222,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
296,False,"{'a': 0.75, 'e': 0.22811746432505092}",20,2,22.289174513228854,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.75, 'e': 0.2269813382099084}",25,12,-20.011680663691024,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
298,False,"{'a': 0.75, 'e': 0.22585087050655528}",25,15,-4.899146058562941,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
299,False,"{'a': 0.75, 'e': 0.22472603303359204}",20,0,-3.977183875602317,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
300,False,"{'a': 0.75, 'e': 0.223606797749975}",25,14,9.603727644737601,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.75, 'e': 0.2224931367543173}",25,18,12.614937737504818,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.75, 'e': 0.22138502228419343}",20,0,-19.322224443881844,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
303,False,"{'a': 0.75, 'e': 0.22028242671544696}",30,6,-95.69891602656705,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 2}",1
304,False,"{'a': 0.75, 'e': 0.21918532256150206}",20,0,-3.2765597831414017,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
305,False,"{'a': 0.75, 'e': 0.21809368247267824}",20,8,23.33123770599804,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.75, 'e': 0.21700747923550856}",30,0,-36.649152881925815,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
307,False,"{'a': 0.75, 'e': 0.21592668577206114}",20,12,15.158443977335441,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.75, 'e': 0.2148512751392643}",20,0,-44.881188918239346,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
309,False,"{'a': 0.75, 'e': 0.21378122052823476}",20,14,7.9730939845414195,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.75, 'e': 0.21271649526360933}",25,8,20.381961073097845,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
